date,sku_id,category,sales_qty,stock_on_hand,on_order,unit_cost,unit_margin,lead_time_days,moq,available_budget
2025-01-01,SKU-001,Makanan,0,48,0,2500.0,300.0,3,1,2500000
2025-01-02,SKU-001,Makanan,1,47,0,2500.0,300.0,3,1,2500000
2025-01-03,SKU-001,Makanan,2,45,0,2500.0,300.0,3,1,2500000
2025-01-04,SKU-001,Makanan,0,45,0,2500.0,300.0,3,1,2500000
2025-01-05,SKU-001,Makanan,0,45,0,2500.0,300.0,3,1,2500000
2025-01-06,SKU-001,Makanan,0,45,0,2500.0,300.0,3,1,2500000
2025-01-07,SKU-001,Makanan,0,45,0,2500.0,300.0,3,1,2500000
2025-01-08,SKU-001,Makanan,0,45,0,2500.0,300.0,3,1,2500000
2025-01-09,SKU-001,Makanan,0,45,0,2500.0,300.0,3,1,2500000
2025-01-10,SKU-001,Makanan,2,43,0,2500.0,300.0,3,1,2500000
2025-01-11,SKU-001,Makanan,0,52,0,2500.0,300.0,3,1,2500000
2025-01-12,SKU-001,Makanan,2,50,0,2500.0,300.0,3,1,2500000
2025-01-13,SKU-001,Makanan,1,49,0,2500.0,300.0,3,1,2500000
2025-01-14,SKU-001,Makanan,1,48,0,2500.0,300.0,3,1,2500000
2025-01-15,SKU-001,Makanan,0,48,0,2500.0,300.0,3,1,2500000
2025-01-16,SKU-001,Makanan,0,48,0,2500.0,300.0,3,1,2500000
2025-01-17,SKU-001,Makanan,2,46,0,2500.0,300.0,3,1,2500000
2025-01-18,SKU-001,Makanan,0,46,0,2500.0,300.0,3,1,2500000
2025-01-19,SKU-001,Makanan,0,46,0,2500.0,300.0,3,1,2500000
2025-01-20,SKU-001,Makanan,1,45,0,2500.0,300.0,3,1,2500000
2025-01-21,SKU-001,Makanan,0,54,0,2500.0,300.0,3,1,2500000
2025-01-22,SKU-001,Makanan,0,54,0,2500.0,300.0,3,1,2500000
2025-01-23,SKU-001,Makanan,0,54,0,2500.0,300.0,3,1,2500000
2025-01-24,SKU-001,Makanan,0,54,0,2500.0,300.0,3,1,2500000
2025-01-25,SKU-001,Makanan,0,54,0,2500.0,300.0,3,1,2500000
2025-01-26,SKU-001,Makanan,0,54,0,2500.0,300.0,3,1,2500000
2025-01-27,SKU-001,Makanan,1,53,0,2500.0,300.0,3,1,2500000
2025-01-28,SKU-001,Makanan,0,53,0,2500.0,300.0,3,1,2500000
2025-01-29,SKU-001,Makanan,0,53,0,2500.0,300.0,3,1,2500000
2025-01-30,SKU-001,Makanan,0,53,0,2500.0,300.0,3,1,2500000
2025-01-31,SKU-001,Makanan,0,62,0,2500.0,300.0,3,1,2500000
2025-02-01,SKU-001,Makanan,0,62,0,2500.0,300.0,3,1,2500000
2025-02-02,SKU-001,Makanan,0,62,0,2500.0,300.0,3,1,2500000
2025-02-03,SKU-001,Makanan,0,62,0,2500.0,300.0,3,1,2500000
2025-02-04,SKU-001,Makanan,0,62,0,2500.0,300.0,3,1,2500000
2025-02-05,SKU-001,Makanan,0,62,0,2500.0,300.0,3,1,2500000
2025-02-06,SKU-001,Makanan,0,62,0,2500.0,300.0,3,1,2500000
