date,sku_id,category,sales_qty,stock_on_hand,on_order,unit_cost,unit_margin,lead_time_days,moq,available_budget
2025-01-01,SKU-001,Makanan,0,63,0,2500.0,300.0,3,1,8000000
2025-01-02,SKU-001,Makanan,0,63,0,2500.0,300.0,3,1,8000000
2025-01-03,SKU-001,Makanan,0,63,0,2500.0,300.0,3,1,8000000
2025-01-04,SKU-001,Makanan,0,63,0,2500.0,300.0,3,1,8000000
2025-01-05,SKU-001,Makanan,0,63,0,2500.0,300.0,3,1,8000000
2025-01-06,SKU-001,Makanan,2,61,0,2500.0,300.0,3,1,8000000
2025-01-07,SKU-001,Makanan,0,61,0,2500.0,300.0,3,1,8000000
2025-01-08,SKU-001,Makanan,1,60,0,2500.0,300.0,3,1,8000000
2025-01-09,SKU-001,Makanan,0,60,0,2500.0,300.0,3,1,8000000
2025-01-10,SKU-001,Makanan,0,60,0,2500.0,300.0,3,1,8000000
2025-01-11,SKU-001,Makanan,1,68,0,2500.0,300.0,3,1,8000000
2025-01-12,SKU-001,Makanan,1,67,0,2500.0,300.0,3,1,8000000
2025-01-13,SKU-001,Makanan,1,66,0,2500.0,300.0,3,1,8000000
2025-01-14,SKU-001,Makanan,0,66,0,2500.0,300.0,3,1,8000000
2025-01-15,SKU-001,Makanan,0,66,0,2500.0,300.0,3,1,8000000
2025-01-16,SKU-001,Makanan,0,66,0,2500.0,300.0,3,1,8000000
2025-01-17,SKU-001,Makanan,1,65,0,2500.0,300.0,3,1,8000000
2025-01-18,SKU-001,Makanan,2,63,0,2500.0,300.0,3,1,8000000
2025-01-19,SKU-001,Makanan,2,61,0,2500.0,300.0,3,1,8000000
2025-01-20,SKU-001,Makanan,0,61,0,2500.0,300.0,3,1,8000000
2025-01-21,SKU-001,Makanan,0,70,0,2500.0,300.0,3,1,8000000
2025-01-22,SKU-001,Makanan,0,70,0,2500.0,300.0,3,1,8000000
2025-01-23,SKU-001,Makanan,1,69,0,2500.0,300.0,3,1,8000000
2025-01-24,SKU-001,Makanan,0,69,0,2500.0,300.0,3,1,8000000
2025-01-25,SKU-001,Makanan,0,69,0,2500.0,300.0,3,1,8000000
2025-01-26,SKU-001,Makanan,3,66,0,2500.0,300.0,3,1,8000000
2025-01-27,SKU-001,Makanan,0,66,0,2500.0,300.0,3,1,8000000
2025-01-28,SKU-001,Makanan,0,66,0,2500.0,300.0,3,1,8000000
2025-01-29,SKU-001,Makanan,0,66,0,2500.0,300.0,3,1,8000000
2025-01-30,SKU-001,Makanan,2,64,0,2500.0,300.0,3,1,8000000
2025-01-31,SKU-001,Makanan,0,73,0,2500.0,300.0,3,1,8000000
2025-02-01,SKU-001,Makanan,0,73,0,2500.0,300.0,3,1,8000000
2025-02-02,SKU-001,Makanan,0,73,0,2500.0,300.0,3,1,8000000
2025-02-03,SKU-001,Makanan,0,73,0,2500.0,300.0,3,1,8000000
2025-02-04,SKU-001,Makanan,0,73,0,2500.0,300.0,3,1,8000000
2025-02-05,SKU-001,Makanan,0,73,0,2500.0,300.0,3,1,8000000
2025-02-06,SKU-001,Makanan,0,73,0,2500.0,300.0,3,1,8000000
2025-02-07,SKU-001,Makanan,0,73,0,2500.0,300.0,3,1,8000000
2025-02-08,SKU-001,Makanan,1,72,0,2500.0,300.0,3,1,8000000
2025-02-09,SKU-001,Makanan,1,71,0,2500.0,300.0,3,1,8000000
2025-02-10,SKU-001,Makanan,1,79,0,2500.0,300.0,3,1,8000000
2025-02-11,SKU-001,Makanan,3,76,0,2500.0,300.0,3,1,8000000
2025-02-12,SKU-001,Makanan,1,75,0,2500.0,300.0,3,1,8000000
2025-02-13,SKU-001,Makanan,1,74,0,2500.0,300.0,3,1,8000000
2025-02-14,SKU-001,Makanan,0,74,0,2500.0,300.0,3,1,8000000
2025-02-15,SKU-001,Makanan,1,73,0,2500.0,300.0,3,1,8000000
2025-02-16,SKU-001,Makanan,0,73,0,2500.0,300.0,3,1,8000000
2025-02-17,SKU-001,Makanan,0,73,0,2500.0,300.0,3,1,8000000
2025-02-18,SKU-001,Makanan,1,72,0,2500.0,300.0,3,1,8000000
2025-02-19,SKU-001,Makanan,0,72,0,2500.0,300.0,3,1,8000000
